Wind Speed (m/s),Turbine Output
1.21,-0.3
1.72,-0.3
2.06,-0.3
2.54,-0.2
3.01,0.0
3.54,0.9
4.08,7.5
4.51,11.8
4.99,17.3
5.50,19.6
6.00,28.9
6.49,41.5
6.98,56.9
7.51,73.6
8.00,91.1
8.52,107.8
9.00,123.3
9.50,137.2
9.99,151.8
10.50,164.3
11.0,174.9
11.49,186.3
12.00,196.2
12.49,205.3
13.06,216.9
13.47,222.3
13.99,227.9
14.47,235.6
14.94,240.5
15.48,249.1
15.96,260.8
16.49,247.7
16.88,249.7
