Wind Speed (m/s),Turbine Output
3,11.2
4,28.1
5,56.1
6,99.3
7,159.4
8,242.5
9,354.1
10,476.4
11,610.8
12,720.0
12.5,750.0
13,750.0
14,750.0
15,750.0
16,750.0
17,750.0
18,750.0
19,750.0
20,750.0
21,750.0
22,750.0
23,750.0
24,750.0
25,750.0
