Wind Speed (m/s),Turbine Output
1,0
2,0
3,0.5
4,4.1
5,10.5
6,19
7,29.4
8,41
9,54.3
10,66.8
11,77.7
12,86.4
13,92.8
14,97.8
15,100
16,99.9
17,99.2
18,98.4
19,97.5
20,96.8
21,96.4
22,96.3
23,96.8
24,98
25,99.2
