Wind Speed (m/s),Turbine Output
0.78,-1.98
1.31,-2.10
1.76,-1.59
2.28,-2.09
2.77,-2.81
3.27,-0.41
3.74,3.88
4.26,10.12
4.76,16.87
5.26,25.70
5.76,36.11
6.27,50.17
6.75,64.91
7.25,82.40
7.74,99.15
8.24,116.92
8.75,136.39
9.26,153.64
9.76,170.63
10.25,185.48
10.74,199.38
11.25,211.06
11.74,222.29
12.25,230.73
12.74,239.25
13.23,244.75
13.75,249.77
14.25,252.44
14.77,256.23
15.23,258.57
15.73,256.56
16.21,264.99
16.70,260.87
17.22,256.78
17.86,261.11
18.38,255.75
